Epoch: [74/100], cls_loss: 0.6038, transfer_loss: 0.1474, kl_loss_src: 3644.0576, kl_loss_tar: 3577.9538, total_Loss: 0.6775, acc: 0.7992
Epoch: [75/100], cls_loss: 0.6109, transfer_loss: 0.1458, kl_loss_src: 3709.7415, kl_loss_tar: 3570.4205, total_Loss: 0.6838, acc: 0.7932
Epoch: [76/100], cls_loss: 0.5761, transfer_loss: 0.1469, kl_loss_src: 3624.7050, kl_loss_tar: 3599.9568, total_Loss: 0.6496, acc: 0.7912
Epoch: [77/100], cls_loss: 0.6332, transfer_loss: 0.1442, kl_loss_src: 3740.3390, kl_loss_tar: 3594.9561, total_Loss: 0.7053, acc: 0.7952
Epoch: [78/100], cls_loss: 0.5562, transfer_loss: 0.1447, kl_loss_src: 3755.7423, kl_loss_tar: 3573.7318, total_Loss: 0.6286, acc: 0.7932
Epoch: [79/100], cls_loss: 0.6040, transfer_loss: 0.1425, kl_loss_src: 3775.4981, kl_loss_tar: 3578.0705, total_Loss: 0.6753, acc: 0.7952
Epoch: [80/100], cls_loss: 0.5709, transfer_loss: 0.1420, kl_loss_src: 3847.8868, kl_loss_tar: 3684.2265, total_Loss: 0.6419, acc: 0.8072
Epoch: [81/100], cls_loss: 0.5259, transfer_loss: 0.1400, kl_loss_src: 3842.6119, kl_loss_tar: 3715.2220, total_Loss: 0.5958, acc: 0.7892
Epoch: [82/100], cls_loss: 0.5723, transfer_loss: 0.1395, kl_loss_src: 3954.0188, kl_loss_tar: 3711.2164, total_Loss: 0.6420, acc: 0.7851
Epoch: [83/100], cls_loss: 0.5870, transfer_loss: 0.1382, kl_loss_src: 3936.2215, kl_loss_tar: 3736.1160, total_Loss: 0.6561, acc: 0.8414
Epoch: [84/100], cls_loss: 0.4961, transfer_loss: 0.1367, kl_loss_src: 3802.2606, kl_loss_tar: 3769.8205, total_Loss: 0.5645, acc: 0.8233
Epoch: [85/100], cls_loss: 0.5341, transfer_loss: 0.1366, kl_loss_src: 3811.7662, kl_loss_tar: 3750.8644, total_Loss: 0.6024, acc: 0.7932
Epoch: [86/100], cls_loss: 0.5339, transfer_loss: 0.1354, kl_loss_src: 3962.4305, kl_loss_tar: 3845.5152, total_Loss: 0.6016, acc: 0.8052
Epoch: [87/100], cls_loss: 0.4278, transfer_loss: 0.1349, kl_loss_src: 3911.0832, kl_loss_tar: 3853.2647, total_Loss: 0.4953, acc: 0.8213
Epoch: [88/100], cls_loss: 0.4991, transfer_loss: 0.1333, kl_loss_src: 3982.4081, kl_loss_tar: 3826.2874, total_Loss: 0.5657, acc: 0.8213
Epoch: [89/100], cls_loss: 0.5132, transfer_loss: 0.1333, kl_loss_src: 4004.4085, kl_loss_tar: 4012.0822, total_Loss: 0.5799, acc: 0.8313
Epoch: [90/100], cls_loss: 0.5292, transfer_loss: 0.1308, kl_loss_src: 4008.2040, kl_loss_tar: 3858.8932, total_Loss: 0.5946, acc: 0.8253
Epoch: [91/100], cls_loss: 0.4871, transfer_loss: 0.1275, kl_loss_src: 4197.6928, kl_loss_tar: 3998.1338, total_Loss: 0.5508, acc: 0.8273
Epoch: [92/100], cls_loss: 0.5507, transfer_loss: 0.1282, kl_loss_src: 4200.4655, kl_loss_tar: 3974.1575, total_Loss: 0.6148, acc: 0.8474
Epoch: [93/100], cls_loss: 0.4673, transfer_loss: 0.1271, kl_loss_src: 4185.2898, kl_loss_tar: 4061.2940, total_Loss: 0.5309, acc: 0.8173
Epoch: [94/100], cls_loss: 0.4201, transfer_loss: 0.1268, kl_loss_src: 4176.7845, kl_loss_tar: 4020.1852, total_Loss: 0.4835, acc: 0.8133
Epoch: [95/100], cls_loss: 0.4359, transfer_loss: 0.1248, kl_loss_src: 4311.6231, kl_loss_tar: 4059.4868, total_Loss: 0.4983, acc: 0.8153
Epoch: [96/100], cls_loss: 0.4595, transfer_loss: 0.1229, kl_loss_src: 4205.3084, kl_loss_tar: 4262.2999, total_Loss: 0.5209, acc: 0.8293
Epoch: [97/100], cls_loss: 0.4233, transfer_loss: 0.1263, kl_loss_src: 4410.4124, kl_loss_tar: 4181.9841, total_Loss: 0.4864, acc: 0.8394
Epoch: [98/100], cls_loss: 0.4000, transfer_loss: 0.1206, kl_loss_src: 4251.5367, kl_loss_tar: 4142.8385, total_Loss: 0.4602, acc: 0.8293
Epoch: [99/100], cls_loss: 0.4126, transfer_loss: 0.1208, kl_loss_src: 4360.6420, kl_loss_tar: 4482.0330, total_Loss: 0.4730, acc: 0.8514
