Epoch: [63/100], cls_loss: 0.3518, transfer_loss: 0.1597, kl_loss_src: 3477.1657, kl_loss_tar: 3311.6222, total_Loss: 0.4316, acc: 0.9498
Epoch: [64/100], cls_loss: 0.3720, transfer_loss: 0.1581, kl_loss_src: 3542.6831, kl_loss_tar: 3324.0129, total_Loss: 0.4510, acc: 0.9538
Epoch: [65/100], cls_loss: 0.3434, transfer_loss: 0.1596, kl_loss_src: 3489.6950, kl_loss_tar: 3312.9187, total_Loss: 0.4232, acc: 0.9478
Epoch: [66/100], cls_loss: 0.3186, transfer_loss: 0.1579, kl_loss_src: 3476.3625, kl_loss_tar: 3363.3301, total_Loss: 0.3975, acc: 0.9458
Epoch: [67/100], cls_loss: 0.2914, transfer_loss: 0.1583, kl_loss_src: 3469.4731, kl_loss_tar: 3365.5608, total_Loss: 0.3705, acc: 0.9498
Epoch: [68/100], cls_loss: 0.3169, transfer_loss: 0.1581, kl_loss_src: 3541.7842, kl_loss_tar: 3355.9465, total_Loss: 0.3960, acc: 0.9518
Epoch: [69/100], cls_loss: 0.3161, transfer_loss: 0.1554, kl_loss_src: 3583.7617, kl_loss_tar: 3379.0190, total_Loss: 0.3938, acc: 0.9578
Epoch: [70/100], cls_loss: 0.3312, transfer_loss: 0.1559, kl_loss_src: 3528.5571, kl_loss_tar: 3375.7844, total_Loss: 0.4091, acc: 0.9538
Epoch: [71/100], cls_loss: 0.3190, transfer_loss: 0.1558, kl_loss_src: 3591.1129, kl_loss_tar: 3396.0329, total_Loss: 0.3969, acc: 0.9538
Epoch: [72/100], cls_loss: 0.3384, transfer_loss: 0.1537, kl_loss_src: 3560.4436, kl_loss_tar: 3369.3829, total_Loss: 0.4152, acc: 0.9498
Epoch: [73/100], cls_loss: 0.2813, transfer_loss: 0.1522, kl_loss_src: 3536.5092, kl_loss_tar: 3390.8561, total_Loss: 0.3574, acc: 0.9518
Epoch: [74/100], cls_loss: 0.3236, transfer_loss: 0.1530, kl_loss_src: 3614.1095, kl_loss_tar: 3391.7337, total_Loss: 0.4001, acc: 0.9558
Epoch: [75/100], cls_loss: 0.2906, transfer_loss: 0.1511, kl_loss_src: 3658.0164, kl_loss_tar: 3432.2887, total_Loss: 0.3661, acc: 0.9558
Epoch: [76/100], cls_loss: 0.2682, transfer_loss: 0.1504, kl_loss_src: 3641.5245, kl_loss_tar: 3439.6547, total_Loss: 0.3435, acc: 0.9578
